id,first_name,last_name,type,state,district,party,twitter_handle,state_name,rep_name,district_name,total_loss,nonelderly_subtotal,medicaid_adults,medicaid_children,medicaid_disabled,medicid_expansion,medicaid_elderly,indiv_market
W000808,Frederica,Wilson,rep,FL,24.0,Democrat,RepWilson,Florida,Frederica S. Wilson (FL-24),(FL-24),106800.0,56100.0,3100.0,11200.0,1800.0,39900.0,4400.0,50700.0
W000804,Robert,Wittman,rep,VA,1.0,Republican,RobWittman,Virginia,Robert J. Wittman (VA-1),(VA-1),40100.0,22500.0,1300.0,5500.0,1000.0,14800.0,1200.0,17500.0
W000809,Steve,Womack,rep,AR,3.0,Republican,Rep_SteveWomack,Arkansas,Steve Womack (AR-3),(AR-3),42600.0,34800.0,1000.0,12900.0,3000.0,17900.0,2000.0,7900.0
W000810,Rob,Woodall,rep,GA,7.0,Republican,RepRobWoodall,Georgia,Rob Woodall (GA-7),(GA-7),71100.0,41800.0,1500.0,8100.0,1400.0,30900.0,1200.0,29300.0
W000779,Ron,Wyden,sen,OR,,Democrat,RonWyden,Oregon,,,283300.0,203800.0,23900.0,46800.0,8400.0,124700.0,9500.0,79600.0
Y000062,John,Yarmuth,rep,KY,3.0,Democrat,RepJohnYarmuth,Kentucky,John A. Yarmuth (KY-3),(KY-3),36400.0,30300.0,2300.0,9700.0,2800.0,15500.0,2100.0,6000.0
Y000063,Kevin,Yoder,rep,KS,3.0,Republican,RepKevinYoder,Kansas,Kevin Yoder (KS-3),(KS-3),48800.0,28800.0,1300.0,7200.0,1300.0,19000.0,1300.0,20000.0
Y000033,Don,Young,rep,AK,0.0,Republican,RepDonYoung,Alaska,Don Young (AK-AL),(AK-AL),64500.0,17200.0,3600.0,8900.0,1400.0,3300.0,2000.0,47300.0
Y000064,Todd,Young,sen,IN,,Republican,SenToddYoung,Indiana,,,270400.0,210200.0,24800.0,83700.0,14900.0,86500.0,16700.0,60500.0
H001041,Dean,Heller,sen,NV,,Republican,SenDeanHeller,Nevada,,,122500.0,87300.0,7900.0,29800.0,3500.0,46100.0,3900.0,35500.0
A000369,Mark,Amodei,rep,NV,2.0,Republican,MarkAmodeiNV2,Nevada,Mark E. Amodei (NV-2),(NV-2),30400.0,20500.0,1800.0,6800.0,800.0,11100.0,900.0,10000.0
B001278,Suzanne,Bonamici,rep,OR,1.0,Democrat,RepBonamici,Oregon,Suzanne Bonamici (OR-1),(OR-1),48000.0,33400.0,3600.0,7000.0,1300.0,21500.0,1500.0,14600.0
D000617,Suzan,DelBene,rep,WA,1.0,Democrat,RepDelBene,Washington,Suzan K. DelBene (WA-1),(WA-1),23100.0,19200.0,1100.0,6600.0,1100.0,10400.0,1600.0,3800.0
M001184,Thomas,Massie,rep,KY,4.0,Republican,RepThomasMassie,Kentucky,Thomas Massie (KY-4),(KY-4),30300.0,24200.0,1900.0,7800.0,2300.0,12200.0,1900.0,6200.0
P000604,Donald,Payne,rep,NJ,10.0,Democrat,RepDonaldPayne,New Jersey,"Donald M. Payne, Jr. (NJ-10)",(NJ-10),49400.0,37700.0,3300.0,14900.0,3000.0,16600.0,2700.0,11700.0
S001194,Brian,Schatz,sen,HI,,Democrat,SenBrianSchatz,Hawaii,,,58200.0,50500.0,10100.0,13100.0,2900.0,24400.0,4900.0,7700.0
F000454,Bill,Foster,rep,IL,11.0,Democrat,RepBillFoster,Illinois,Bill Foster (IL-11),(IL-11),36000.0,22800.0,4300.0,9100.0,1200.0,8200.0,1100.0,13200.0
T000468,Dina,Titus,rep,NV,1.0,Democrat,RepDinaTitus,Nevada,Dina Titus (NV-1),(NV-1),39900.0,31400.0,2700.0,10100.0,1200.0,17400.0,1200.0,8600.0
C001095,Tom,Cotton,sen,AR,,Republican,SenTomCotton,Arkansas,,,172400.0,144600.0,4500.0,57900.0,13500.0,68900.0,11000.0,27900.0
S001191,Kyrsten,Sinema,rep,AZ,9.0,Democrat,RepSinema,Arizona,Kyrsten Sinema (AZ-9),(AZ-9),52900.0,28000.0,5500.0,9300.0,1300.0,12000.0,1700.0,24900.0
L000578,Doug,LaMalfa,rep,CA,1.0,Republican,RepLaMalfa,California,Doug LaMalfa (CA-1),(CA-1),46200.0,32700.0,5800.0,11600.0,2300.0,13000.0,3100.0,13500.0
H001068,Jared,Huffman,rep,CA,2.0,Democrat,RepHuffman,California,Jared Huffman (CA-2),(CA-2),39800.0,25200.0,4300.0,8500.0,1700.0,10800.0,2300.0,14500.0
B001287,Ami,Bera,rep,CA,7.0,Democrat,RepBera,California,Ami Bera (CA-7),(CA-7),37800.0,24900.0,4400.0,8700.0,1700.0,10100.0,2900.0,12900.0
C001094,Paul,Cook,rep,CA,8.0,Republican,RepPaulCook,California,Paul Cook (CA-8),(CA-8),52400.0,39600.0,6600.0,13100.0,2600.0,17200.0,2800.0,12900.0
S001193,Eric,Swalwell,rep,CA,15.0,Democrat,RepSwalwell,California,Eric Swalwell (CA-15),(CA-15),35000.0,19800.0,3700.0,7400.0,1500.0,7100.0,3000.0,15200.0
V000129,David,Valadao,rep,CA,21.0,Republican,RepDavidValadao,California,David G. Valadao (CA-21),(CA-21),62300.0,52600.0,8600.0,17000.0,3400.0,23500.0,3300.0,9800.0
B001285,Julia,Brownley,rep,CA,26.0,Democrat,JuliaBrownley26,California,Julia Brownley (CA-26),(CA-26),42100.0,26400.0,4000.0,7800.0,1600.0,13100.0,2800.0,15600.0
C001097,Tony,Cárdenas,rep,CA,29.0,Democrat,RepCardenas,California,Tony Cárdenas (CA-29),(CA-29),65800.0,50100.0,7600.0,15000.0,3000.0,24600.0,4500.0,15700.0
R000599,Raul,Ruiz,rep,CA,36.0,Democrat,CongressmanRuiz,California,Raul Ruiz (CA-36),(CA-36),55800.0,42100.0,6700.0,13200.0,2600.0,19700.0,3600.0,13700.0
T000472,Mark,Takano,rep,CA,41.0,Democrat,RepMarkTakano,California,Mark Takano (CA-41),(CA-41),55600.0,41900.0,6800.0,13400.0,2700.0,19100.0,2700.0,13700.0
L000579,Alan,Lowenthal,rep,CA,47.0,Democrat,RepLowenthal,California,Alan S. Lowenthal (CA-47),(CA-47),51000.0,35000.0,5400.0,10600.0,2100.0,16900.0,4000.0,15900.0
